name
Tatyana Pavlovna Ehrenfest
Elizaveta Litvinova
Wang Zhenyi
Louise Hay
Cecilia Krieger
Catherine de Parthenay
Chrystal Macmillan
Geneviève Guitel
Charlotte Barnum
Marie Anne Victoire Pigeon
Marie-Louise Dubreil-Jacotin
Lubna of Cordoba
Marjorie Lee Browne
Angelina Cabras
Elena Freda
Evelyn Nelson
Mary Celine Fasenmyer
Iris Runge
Lyudmila Keldysh
Virginia Ragsdale
Pauline Sperry
Marie-Jeanne de Lalande
Maria-Pia Geppert
Margherita Beloch Piazzolla
Dorothy Stahl Brady
Giuseppina Masotti Biggiogero
Agnes Sime Baxter
Maria Cibrario Cinquini
Maria Gramegna
Olga Bondareva
Isabel Maddison
Nadezhda Gernet
Faustina Pignatelli
Margaret Meyer
Mary Everest Boole
Ida Rhodes
Juliette Peirce
María Andresa Casamayor
Judith Q. Longyear
Käte Fenchel
Bi Bi Monajemeh Nishaburi
Lillian Rosanoff Lieber
Alice Roth
Mary Edwards
Anna Mullikin
Angeline Stickney
Claribel Kendall
Beatrice Mabel Cave-Browne-Cave
Bertha Swirles
Louise Petrén-Overton
Christine Hamill
Dorothea Beale
Annie Dale Biddle Andrews
Dorothy Lewis Bernstein
Celia Grillo Borromeo
Elizabeth Tollet
Ellen Hayes
Euphemia Haynes
Grace Andrews
Helen Almira Shafer
Elizabeth Stephansen
Gertrude Blanch
Elizabeth Williams
Helen Abbot Merrill
Ethel M. Elderton
Florence Marie Mears
Florence Nightingale David
Frances Hardcastle
Hilda Phoebe Hudson
Anne Lucy Bosworth Focke
Thyra Eibe
Ruth Lyttle Satter
Teresa Cohen
Signy Arctander
Sophie Bryant
Susan Jane Cunningham
Anna Zofia Krygowska
Rosalind Tanner
Danuta Gierulanka
Winifred Edgerton Merrill
Süe-Yung Zee-Kiang
Ida Barney
Klavdiya Latysheva
Vivienne Malone-Mayes
Sofia Danova
Mary Frances Winston Newson
Mildred Sanderson
Georgia Caldwell Smith
Hermine Agavni Kalustyan
Nora Calderwood
Marion Cameron Gray
Grace Bates
Louise Hunter
Kirstine Smith
Vera Myller
Maria Adelaide Sneider
Thyrsa Frazier Svager
Agnes Bell Collier
Charlotte Kipling
Melba Roy Mouton
Lucy Mensing
Alice Lee
Florence Yeldham
Vera Šnajder
Klara Löbenstein
Flora Philip
Joan Clarke
Frances Cave-Browne-Cave
Florence Eliza Allen
Libera Trevisani Levi-Civita
Auguste Dick
Pia Nalli
Margaret Millington
Mayme Logsdon
Divsha Amirà
Winifred Sargent
Marguerite Lehr
Florence Lewis
Bella Subbotovskaya
Margarethe Kahn
Mary P. Dolciani
Eléna Wexler-Kreindler
Marie Litzinger
Olive Hazlett
Elizabeth Buchanan Cowley
Eleanor Mildred Sidgwick
Graciela Salicrup
Jessie Marie Jacobs
Wealthy Babcock
Alma Johanna Ruubel
Mary Esther Trueblood
Mary Cleophas Garvin
Mary de Lellis Gough
Lao Genevra Simons
Josephine Elizabeth Burns Glasgow
Barbara Gertrude Yates
María del Carmen Martínez Sancho
Hilda Lyon
Helene Stähelin
Josephine Chanler
Sister Mary Cordia Karl
May Beenken
Margaret Grimshaw
Ida Busbridge
Jane Squire
Emilie Martin
Helen M. Walker
Johanna Piesch
Roxana Vivian
Susan Miller Rambo
Suzan Rose Benedict
Dorothy Walcott Weeks
Sophie Piccard
Liouba Bortniker
Madeleine Chaumont
Charlotte Wedell
Margaret Greig
Helen Brewster Owens
Louise Duffield Cummings
Fanny R. M. Hitchcock
Lillian K. Bradley
Ingeborg Seynsche
Sophia Foster Richardson
Sara Shakulova
Anna Rönström
Alida Rossander
Ida Martha Metcalf
Cora Ratto de Sadosky
Mary Wynne Warner
Lois Wilfred Griffiths
Lili Bleeker
Ruth Gentry
Maria Pastori
Marie Gernet
Jessie Forbes Cameron
Ethel Raybould
Grace Marie Bareis
Cornelia Fabri
Alena Varmužová
Frieda Nugel
Constance Anne Herschel
Ilona Palásti
Ruth Goulding Wood
Margaretta Palmer
Helen Popova Alderson
Margaret Hayman
Clara Latimer Bacon
Lorna Swain
Nelli Neumann
Gillie Larew
Hettie Belle Ege
Clara Eliza Smith
Katharine Elizabeth O'Brien
Marie Charpentier
Rose Morton
Elizabeth McHarg
Olga Tsuberbiller
Priscilla Braislin
Eleanor Pairman
Anna Cartan
Mary Shore Walker
Saly Ruth Ramler
Laura Guggenbühl
L. D. Adams
Izabela Abramowicz
Virginia Tucker
Emilie Virginia Haynsworth
Marília Chaves Peixoto
Anne Cobbe
Frances Harshbarger
Marion Elizabeth Stark
Sister Mary Domitilla Thuener
Artishia Wilkerson Jordan
Valerie Myerscough
Rachel Blodgett Adams
Marie Fabianová
Geertruida Wijthoff
Lennie Copeland
Leila Bram
Emily Kathryn Wyant
Alice Christine Stickland
Beryl May Dent
Dora Metcalf
Mary Graustein
Annie L. MacKinnon
Laura Pisati
Yoshie Katsurada
Barbara Canright
Pandrosion
Anne C. Morel
Stanislawa Nikodym
Muriel Glauert
Annita Tuller
Sarah D. Allen Oren Haynes
Emily Coddington
Nancy Cole
Anna Irwin Young
Sylvia Skan
Harriet Griffin
Ruth Stokes
Mary Emily Sinclair
Marie Johanna Weiss
Eugenie M. Morenus
Charlotte Elvira Pengra
Charlotte Elvira Pengra
Mabel Minerva Young
Mary Clem
Elisabeth Hagemann
Mary Nicholas Arnoldy
Ida May Schottenfels
Fay Farnum
Beulah Armstrong
Mary Speer
Josephine Roe
Louise Adelaide Wolf
Helen Calkins
Marion Ballantyne White
Adrienne Sophie Rayl
Nola Anderson Haynes
Joanna Isabel Mayer
Alice M. Dimick
Bess Marie Eversull
Roberta Frances Johnson
Helen Infeld
Josephine Baker
Franziska Scanagatta
Janina Lewandowska
Vivian Stuart
Mária Lebstück
Lydia Litvyak
Manuela Sáenz
Sue S. Dauser
Lidiya Shulaykina
Richard Nelson Gale
Olga Sanfirova
Myn M. Hoffman
Marion Beiter
Ione Grogan
Hanna Reitsch
Sarus
Ellen Burrell
Kara Hultgreen
Josephine Beatrice Bowman
Beulah Russell
Frances Ellen Baker
Jenny Rossander
Mary Ellen Rickett
Marie S. Wilcox
Barbara Allen Rainey
Mary Kenny Landers
Edith Bush
Margaret Baron
Stella Levy
Mary Gertrude Haseman
Louise Zung-nyi Loh
Cornelia Strong
Lê Vũ Anh
Dorothy Geneva Styles
Abba Verbeck Newton
Ethel Isabel Moody
Sallie Pero Mead
Margaret B. Cole
Evelyn Prescott Wiggin
Halina Ryffert
Emma Unson Rotor
Jessica M. Young
Josephine Janina Mehlberg
Esther Hasson
Olena Stepaniv
Anne Marie François Barbuat de Maison-Rouge de Boisgérard
Galina Dzhunkovskaya
Antonia Nava de Catalán
Herminia Naglerowa
Zinaida Samsonova
Annie Fox
Beata Obertyńska
Marion Keisker
Clare Stevenson
Katherine A. Towle
Teresa Magbanua
Enriqueta Favez
Dorothy Frooks
Ewa Miszewska
Lenah Higbee
Jeanette I. Sustad
Nellie Jane DeWitt
Serafima Amosova
Aleksandra Zagórska
Ann M. McDonough
Eleanor Manning
"Bridget Monckton, 11th Lady Ruthven of Freeland"
Mariya Fortus
Marzieh Arfai
Cia Ordelaffi
Ida Rolf
Lise Meitner
Maria Wittek
Ruth Cheney Streeter
Veronica Bulshefski
Zofia Leśniowska
Flora Sandes
Mary Sears
Geraldine Pratt May
Ruth Agatha Houghton
Wilma Leona Jackson
Elise Blenker
Evelyn Tucker
Maud MacLellan
Mary Railton
Mehitable E. Woods
Winifred Collins
Hong Xuanjiao
Júlia Bányai
Joy Bright Hancock
Nancy Salmon
Henrietta Barnett
Siyka Tsoncheva
Mildred H. McAfee
Anna Nikandrova
Winifred Dakyns
Christian Fraser-Tytler
Emilia Gierczak
Helen Morgan Hamilton
Edith Crowdy
Barbara Maxwell
Nadine Hwang
Donka Ushlinova
Donka Ushlinova
Marie Curie
Agnes Pockels
Lucy Weston Pickett
Mary-Anne Paulze Lavoisier
Anna Sundström
Ellen Swallow Richards
Hazel Alden Reason
Hertha Sponer
Ruby Hirose
Karen Wetterhahn
Myrtle Bachelder
Hazel Bishop
Mária Telkes
Lucy Everest Boole
Rosalind Franklin
Rachel Fuller Brown
Emma P. Carr
Mary Peters Fieser
Elizabeth Fulhame
Louise Hammarström
Anna J. Harrison
Dorothy Hodgkin
Allene Jeanes
Jane Stafford
Irène Joliot-Curie
Clara Immerwahr
Kathleen Lonsdale
Gertrude B. Elion
Katharine Burr Blodgett
Maud Menten
Mary Engle Pennington
Marie Baum
Csilla von Boeselager
Erika Cremer
Ida Noddack
Gerty Cori
Anna Weizmann
Marguerite Perey
Clara von Simson
Elizabeth Monroe Boggs
Eva Ekeblad
Elizabeth Rona
Gertrud Kornfeld
Gertrud Woker
Gretel Adorno
Ellen Gleditsch
Margaret Eliza Maltby
Karen Silkwood
Lina Stern
Margaret Oakley Dayhoff
France Bloch-Sérazin
Anna Volkova
Luise Holzapfel
Maria Kobel
Nadezhda Olimpievna Ziber-Shumova
Carolina Henriette Mac Gillavry
Maria Lipp
Leona Woods
Julia Lermontova
Sophie Berthelot
Katherine Bitting
Marie Meurdrac
Marjory Stephenson
Marie-Geneviève-Charlotte Thiroux d'Arconville
Rosalind Pitt-Rivers
Germaine Cellier
Maria Maddalena Rossi
Margrete Heiberg Bose
Vera Popova
Naima Sahlbom
Remziye Hisar
Ida Freund
Maria Christina Bruhn
Dahlia Greidinger
Astrid Cleve
Helen Abbott Michael
Aniela Franciszka Wolberg
Bettye Washington Greene
Florence van Straten
Mary Lura Sherrill
Ada Prins
Edith Humphrey
Pauline Gracia Beery Mack
Katharine Blunt
Dorothy Hahn
Nellie May Naylor
Rona Robinson
Gertrude Perlmann
Margaret D. Foster
Martha Annie Whiteley
Mary Bidwell Breed
Antoinette Rodez Schiesler
Pauline Ramart
Germaine Benoit
Sonia Cotelle
Alice Ball
İzzət Oruczadə
