name
Erle Bartley
Jules Houël
Petrus Särkilahti
Edward Llewellyn-Thomas
Eric Underwood
John Perry
Elwood Murray
Enrique José Varona
Luko Stulić
Edwin Bailey Elliott
Cosimo De Giorgi
Giovanni Antonelli
Robert Simpson Woodward
Carlo Roberto Dati
Edward Augustus Holyoke
Dario Maestrini
Mirza Jamal Javanshir
Edoardo Perroncito
Émile Achard
Émile Achard
Enrico D'Ovidio
Robert Degos
Robert Ogilvie Crombie
Siegfried Knemeyer
Stephen S. Chang
Svend O. Heiberg
Paul K. Calaway
Peter P. Silvester
Raymond A. Heising
Richard Baerwald
Richard Edmonds
Rida Said
Robert Logan Jack
Robert Sonkin
Santiago Americano Freire
Philip Sporn
Robert Lusk
Robert Metcalfe
Ross Masood
Paul William Brosman
Randolph Greene Pack
Richard Clarke Cabot
Samuel Hibben
Samuel Tertius Galton
Ramón López Irizarry
Robert Fassnacht
Svend Lomholt
Percival Bazeley
Roy Alexander Weagant
Sambhu Nath De
Fozil Amirov
Eusebio Valli
Giuseppe Levi
Giambattista Pianciani
Gino Girolamo Fanno
Gino Girolamo Fanno
al-Zajjāj
Said Elsayyed Bedeer
Qadi 'Abd al-Wahhab
Hashim Al-Witry
Israel Holmgren
Hermann Niemeyer Fernández
Ibrāhīm al-khawāṣṣ
Henry Highton
Alf Victor Guldberg
Hiram Bond Everest
Donn E. Rosen
Henry Joseph Grayson
Hugh P. Baker
Thorvald Madsen
William Frost
Mir Seyyed Abd al-Latif Shushtari
Abulhassan Shamsabadi
James Jeremie
James E. Church
Genrikh Genrikhovich Manizer
Richard Sumner Cowan
Jacob Obermeyer
James Booker Blakemore Wellington
Harry O. Wood
Bedri Karafakioğlu
James Jago
Tadeusz Żyliński
Sydney Patterson
T. R. M. Howard
Tex Antoine
Tatari Oguz Effendi
Hélio Lourenço de Oliveira
James Hart Wyld
James Hart Wyld
Aslan Vezirzade
Milorad Pavlović
Somuncu Baba
Emanuilo Janković
Alexandru Roșca
Thomas Wakefeld
Vladimir Littauer
Walter Cruz
William James Craig
William Patten
Thomas Brash
Walter C. Lowdermilk
"Walter R. Tucker, Jr."
William Aspdin
Mir Mehdi Khazani
Theodore K. Lorenz
Thomas Blanchard Stowell
William Alfred Webb
William Curtis Farabee
William Rougham
Thomas Hocken
William Higgins
Thomas Batchcroft
W. A. S. Butement
William Ivey
William Smith
Thomas Smith
Upendranath Brahmachari
Vernon D. Crawford
Wale Hicks
William Hales
Walter Lincoln Hawkins
William Andrew Paton
William Andrew Paton
William T. Pecora
Thomas Rutherforth
Walter Morley Fletcher
William Glenn Sloan
Muhammad Hassan Bey Veliyev- Baharly
Tamerlan Aliyev
Khudu Mammadov
Yusif İbn Məhəmmədcan Qarabaği
Manuel de Abreu
Álvaro Alberto da Mota e Silva
Leigh Page
Ivan Honl
Réginald Outhier
Bohumil Bydžovský
Elmer Kraemer
Chi-Ming Chu
Mirza Husain Noori Tabarsi
Viktor Lensky
Aleksandr Petrovich Kunit͡syn
Carl C. Jeremiassen
Frutos Saavedra Meneses
Leo Margolis
Jean Przyluski
Adam Evgenʹevich Suprun
Asgar Abdullayev (scientist)
Hovhannes Erznkatsi
Abdulkarim Alizadeh
Kazimierz Kostanecki
Takahashi Yoshitoki
Jan Michał Hube
William Tilbury Fox
Wouter Besiot
Yuri Sokolov
Zhang Zhongjun
Ian Clunies Ross
Isaac Pennington
Zeev Reiss
Seha Meray
William Vernon Harcourt
Zihni Derin
Kara Davud
Yao Tongbin
Yeram S. Touloukian
Iustin Dyadkovsky
Mario Urteaga Alvarado
Irving Bieber
Isaac de Sequeira Samuda
Wolf Pascheles
William Vere Cruess
Pedro Ruiz Gallo
Solomon Adlivankin
José Canalejas Casas
Leonid Dushkin
Abu'l-Qasim al-Husayn ibn Ali al-Maghribi
Kristen Eik-Nes
Josef Charvát
Jacob van der Hoeden
Walter Langdon-Brown
Stasys Matulaitis
Victor Della-Vos
Victor Della-Vos
